ID,Height (Inch),Weight (Pound)
0,73.84701702,241.8935632
1,70,
2,74.11010539,212.7408556
3,71.7309784,220.0424703
4,69.88179586,206.3498006
5,67.25301569,152.2121558
6,68.78508125,183.9278886
7,68.34851551,167.9711105
8,67.01894966,175.9294404
9,63.45649398,156.3996764
10,71.19538228,186.6049256
11,62.63667493,102.8535632
12,62.07783169,138.6916803
13,60.03043377,97.68743226
14,59.09825003,110.5296857
15,66.17265215,136.7774542
16,67.06715465,170.8679059
17,63.86799221,128.4753188
18,69.03424313,163.8524613
19,61.94424588,113.6491027
21,0,0
